serial;serial_norm;relation_type;color;cycle_id;points_used;slope_pct_per_day;level_now_pct;days_left_est;last_seen;stockout_date;offset_days;reorder_date;should_order_now;rs_n_cycles;rs_mean_cycle_len_days;rs_max_cycle_len_days;rs_last_seen;rs_last_reset;rs_days_since_last_reset;rs_has_reset;us_mean_daily_pct_drop;us_median_daily_pct_drop;us_peak_daily_pct_drop;us_mean_pct_drop_per_cycle;us_has_usage_data;m_total_pages;m_n_records;m_ratio_color;m_ratio_a3;m_daily_mean;m_daily_std;m_total_pages_last30;m_total_pages_last7;month;dayofweek;week;ml_offset_days_v21;last_seen_dt;stockout_date_ml_v21;days_left_ml_v21;reference_date;days_left_v21
$JPBVK460W4$;$JPBVK460W4$;contrat_adex;cyan;1;366;-0.3351;93.0;277.5;2025-02-10 11:30:00;2025-11-15;1;2025-11-14;False;2;208.0;397;2025-02-10 11:30:00;2025-01-22 14:30:00;18.0;1;0.1935483870967742;0.0;8.0;37.0;1.0;;;;;;;;;2;0;7;0.83340627;2025-02-10 11:30:00;2025-11-15 20:00:06.301689145;278.0;2025-02-10 11:30:00;0.0
$JPBVK460W4$;$JPBVK460W4$;contrat_adex;magenta;1;377;-0.4476;84.0;187.7;2025-02-10 11:30:00;2025-08-17;-8;2025-08-25;False;2;208.0;371;2025-02-10 11:30:00;2024-12-27 14:30:00;44.0;1;0.17473118279569894;0.0;4.0;33.0;1.0;;;;;;;;;2;0;7;-6.713615;2025-02-10 11:30:00;2025-08-10 06:52:23.669128419;180.0;2025-02-10 11:30:00;0.0
$JPBVK460W4$;$JPBVK460W4$;contrat_adex;yellow;1;366;-0.3753;93.0;247.8;2025-02-10 11:30:00;2025-10-16;-11;2025-10-27;False;2;208.0;397;2025-02-10 11:30:00;2025-01-22 14:30:00;18.0;1;0.20161290322580644;0.0;9.0;38.0;1.0;;;;;;;;;2;0;7;-6.8169694;2025-02-10 11:30:00;2025-10-09 04:23:33.844299320;240.0;2025-02-10 11:30:00;0.0
$JPBVK460XL$;$JPBVK460XL$;contrat_adex;black;2;729;-1.2948;42.0;32.4;2024-02-09 09:00:00;2024-03-12;0;2024-03-12;False;3;30.333333333333332;45;2024-02-09 09:00:00;2023-12-26 14:30:00;44.0;1;1.4597701149425288;1.0;15.0;42.333333333333336;1.0;;;;;;;;;2;4;6;-0.64066595;2024-02-09 09:00:00;2024-03-11 08:37:26.462059018;30.0;2024-02-09 09:00:00;0.0
$JPBVK460XL$;$JPBVK460XL$;contrat_adex;cyan;1;729;-0.9273;56.0;60.4;2024-02-09 09:00:00;2024-04-09;1;2024-04-08;False;2;45.5;46;2024-02-09 09:00:00;2023-12-26 14:30:00;44.0;1;0.5;0.0;3.0;22.0;1.0;;;;;;;;;2;4;6;-2.5293756;2024-02-09 09:00:00;2024-04-06 11:17:41.952209473;57.0;2024-02-09 09:00:00;0.0
$JPBVK460XL$;$JPBVK460XL$;contrat_adex;magenta;1;729;-0.9393;55.0;58.6;2024-02-09 09:00:00;2024-04-07;-8;2024-04-15;False;2;45.5;46;2024-02-09 09:00:00;2023-12-26 14:30:00;44.0;1;0.8735632183908046;1.0;4.0;22.5;1.0;;;;;;;;;2;4;6;-5.686874;2024-02-09 09:00:00;2024-04-01 07:30:54.093933104;51.0;2024-02-09 09:00:00;0.0
$JPBVK460XL$;$JPBVK460XL$;contrat_adex;yellow;1;729;-0.9164;57.0;62.2;2024-02-09 09:00:00;2024-04-11;-11;2024-04-22;False;2;45.5;46;2024-02-09 09:00:00;2023-12-26 14:30:00;44.0;1;0.48863636363636365;0.0;3.0;21.5;1.0;;;;;;;;;2;4;6;-4.9193296;2024-02-09 09:00:00;2024-04-06 01:56:09.918823244;56.0;2024-02-09 09:00:00;0.0
$KNDY16327$;$KNDY16327$;contrat_adex;cyan;6;15;-7.9522;20.0;2.5;2026-01-29 14:43:00;2026-02-01;1;2026-01-31;True;7;149.85714285714286;1016;2026-01-29 14:43:00;2026-01-15 14:43:00;14.0;1;0.25309396485867075;0.0;80.0;70.28571428571429;1.0;;;;;;;;;1;3;5;0.763316;2026-01-29 14:43:00;2026-02-01 18:19:10.500297542;3.0;2026-01-29 14:43:00;2.0
$KNDY16397$;$KNDY16397$;contrat_adex;black;1;649;-0.4815;76.0;157.8;2024-04-18 19:01:00;2024-09-23;0;2024-09-23;False;2;216.0;396;2024-04-18 19:01:00;2023-03-20 17:01:00;395.0;1;0.8201703445605885;0.2222222222222222;4.0;26.0;1.0;;;;;;;;;4;3;16;0.6000477;2024-04-18 19:01:00;2024-09-23 14:24:04.121932985;157.0;2024-04-18 19:01:00;0.0
$X3BL116986$;$X3BL116986$;contrat_adex;black;3;29;-0.2831;3.0;10.6;2026-01-29 14:32:00;2026-02-09;0;2026-02-09;False;4;170.25;406;2026-01-29 14:32:00;2025-05-15 14:30:00;259.0;1;0.5967438305573899;0.0;22.0;66.5;1.0;;;;;;;;;1;3;5;-0.27210703;2026-01-29 14:32:00;2026-02-08 17:28:09.952182774;10.0;2026-01-29 14:32:00;9.0
$X3BL124869$;$X3BL124869$;contrat_adex;black;6;29;-0.9352;7.0;7.5;2026-01-29 14:32:00;2026-02-06;0;2026-02-06;True;7;92.71428571428571;119;2026-01-29 14:32:00;2025-10-23 21:37:00;97.0;1;1.2479928017718716;1.0;15.0;92.85714285714286;1.0;;;;;;;;;1;3;5;-0.025677808;2026-01-29 14:32:00;2026-02-05 23:23:01.437420846;7.0;2026-01-29 14:32:00;6.0
